,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19820402,2.83,1.84,1.23,3.88,2.37,0.72,2.31,-0.36,-2.38,0.281
19820408,1.61,1.46,1.02,1.35,1.16,0.21,0.84,0.46,-0.86,0.281
19820416,0.71,1.02,1.03,1.31,-0.13,0.72,0.39,0.29,-0.13,0.281
19820423,1.77,1.74,1.29,1.27,1.67,1.93,1.22,-0.02,0.09,0.281
19820430,-0.15,-0.15,-0.35,-1.93,-1.69,-1.6,-1.84,1.52,0.06,0.281
19820507,2.09,1.87,1.67,2.8,3.49,2.61,2.52,-1.09,-0.31,0.264
19820514,0.13,-0.13,0.04,-1,-0.65,-1.17,-1.03,0.95,-0.13,0.264
19820521,-3.54,-2.44,-1.78,-2.91,-2.73,-1.51,-2.91,-0.2,1.58,0.264
19820528,-2.29,-1.49,-1.44,-2.34,-2.34,-1.99,-2.47,0.48,0.6,0.264
19820604,-2.33,-1.35,-1.02,-1.7,-1.24,-1.69,-1.88,-0.03,0.67,0.238
19820611,-0.12,-0.16,-0.14,1.22,0.97,0.84,0.59,-1.15,-0.2,0.238
19820618,-3.8,-2.06,-1.31,-4.19,-3.07,-2.45,-3.64,0.85,2.11,0.238
19820625,2.14,1.34,0.76,2.54,1.42,0.28,1.42,0,-1.82,0.238
19820702,-0.98,0,0.17,-1.51,-1.03,-0.35,-1.21,0.69,1.15,0.262
19820709,-0.08,-0.06,-0.16,1.77,-0.43,1.28,0.4,-0.98,-0.28,0.262
19820716,1.15,1.3,0.69,3.38,1.25,0.95,1.6,-0.81,-1.44,0.262
19820723,1.25,0.99,0.97,-0.01,-0.3,0.6,-0.04,0.98,0.16,0.262
19820730,-3.26,-2.41,-2.41,-3.58,-3.49,-3.21,-3.64,0.73,0.61,0.262
19820806,-3.42,-1.4,-1.02,-4.01,-2.43,-1.17,-2.75,0.59,2.62,0.19
19820813,-3.55,-1.92,-1.55,-1.17,0.17,2.02,-0.53,-2.68,2.59,0.19
19820820,6.41,5.38,6.09,8.44,8.77,9.13,8.1,-2.82,0.18,0.19
19820827,7.9,5.17,3.7,5.46,4.55,1.76,4.35,1.66,-3.95,0.19
19820903,3.11,3.65,2.47,5.75,4.5,3.37,4.34,-1.47,-1.51,0.128
19820910,0.26,0.57,1.15,-1.41,-0.39,-1.67,-1.04,1.82,0.32,0.128
19820917,1.61,1.57,1.45,2.18,1.07,0.65,1.34,0.24,-0.85,0.128
19820924,0.52,1.01,1.05,1.08,0.49,0.65,0.63,0.12,0.05,0.128
19821001,-0.93,0,0.24,-1.64,-0.89,-0.03,-1.04,0.62,1.39,0.147
19821008,5.63,5.33,4.45,8.29,7.16,6.66,7,-2.23,-1.41,0.147
19821015,4.54,3.64,3.19,0.98,3.25,0.92,2.03,2.07,-0.71,0.147
19821022,5.26,4.38,3.98,5.1,3.68,2.63,3.97,0.74,-1.87,0.147
19821029,-1.25,-1.13,-0.95,-2.98,-4.19,-2.16,-3.1,2,0.56,0.147
19821105,7.15,6.17,6.74,7.24,6.46,5.88,6.49,0.16,-0.88,0.158
19821112,2.77,2.23,2.08,-0.77,-2.3,-0.83,-0.94,3.66,-0.38,0.158
19821119,-1.91,-0.77,-0.33,-1.62,-1.7,-1.61,-1.72,0.64,0.79,0.158
19821126,-0.17,-0.26,-0.34,-1.13,-2.02,-1.02,-1.39,1.13,-0.03,0.158
19821203,3.91,2.38,1.89,3.87,1.9,1.94,2.57,0.16,-1.98,0.168
19821210,-0.26,0.05,-0.19,0.49,1.05,-0.68,0.14,-0.42,-0.55,0.168
19821217,-2.9,-2.57,-1.52,-1.72,-1.92,-0.63,-1.85,-0.9,1.24,0.168
19821223,1.77,1.07,0.95,1.73,1.08,1.7,1.32,-0.24,-0.42,0.168
19821231,0.9,1.45,0.72,0.3,1.12,0.93,0.63,0.24,0.23,0.168
19830107,4.3,2.79,2.99,1.37,4.59,4.07,3.08,0.01,0.7,0.171
19830114,3.47,2.76,2.05,1.46,0.3,1.81,1.3,1.57,-0.54,0.171
19830121,-0.47,-0.69,-1.27,-2.22,-1.34,-1.22,-1.76,0.78,0.1,0.171
