,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,xrm
20090330,-1.79,-3.78,-4.22,-3.78,-4.4,-4.13,-4.53,-4.63,-4.78,-4.47,-3.47
20090331,2.44,1.91,1.56,1.08,1.59,1.53,1.48,1.37,1.37,1.56,1.29
20090401,0.97,2.55,2.52,2.08,2.11,1.89,2.39,2.16,1.95,1.77,1.65
20090402,2.74,6.41,6.41,5.81,5.88,4.69,5.1,4.6,5.08,3.55,3.07
20090403,0.91,1.26,1.65,1.49,2.02,1.84,1.66,1.64,2.36,1.47,1.02
20090406,0.32,-2.1,-2.17,-1.99,-1.37,-1.43,-1.52,-0.95,-1.13,-0.93,-0.92
20090407,-0.87,-3.66,-3.74,-3.91,-3.26,-3.09,-3.02,-3.14,-2.76,-2.6,-2.42
20090408,1.55,3.68,2.64,2.51,2.06,1.94,1.78,1.76,2.64,1.42,1.28
20090409,3.75,6.59,7.08,6.94,6.63,6.06,5.91,5.95,5.57,4.4,3.91
20090413,0.76,0.41,0.79,0.27,0.27,0.69,0.24,0.01,0.39,0.96,0.26
20090414,-0.22,-3.38,-2.93,-2.65,-2.26,-2.09,-1.7,-2.13,-1.7,-1.92,-2.02
20090415,1.03,2.95,1.99,1.69,1.55,1.28,1.13,1.14,1.3,1.35,1.12
20090416,1.43,3.46,3.4,3.03,3.63,2.28,3.15,2.9,2.42,1.32,1.69
20090417,1.73,1.68,1.49,1.82,2.54,1.46,1.9,1.45,1.31,0.36,0.55
20090420,-2.66,-6.83,-6.22,-6.05,-6.28,-5.43,-6.04,-5.64,-5.32,-4.9,-4.32
20090421,2.36,5.47,5.01,4.06,4.02,3.58,3.04,2.76,3.29,2.7,2.19
20090422,1.12,0.83,0.94,0.84,0.84,0.58,0.82,0.28,0.48,-0.8,-0.61
20090423,0.22,-2.09,-1.48,-0.79,-0.61,-0.13,-0.15,0.06,0.9,1.11,0.66
20090424,1.85,2.84,3.12,3.01,3.08,2.65,3.08,2.52,2.5,1.83,1.77
20090427,-0.18,-2.24,-2.34,-1.83,-1.5,-1.18,-1.96,-1.09,-1.82,-1.19,-0.95
20090428,0.91,1.66,1.2,0.45,0.48,0.41,0.1,-0.36,-0.78,-0.59,-0.2
20090429,2.19,5.04,4.39,4.09,3.44,3.38,3.48,3.4,2.98,2.72,2.41
20090430,0.87,-0.84,0.01,-0.58,0.08,0.59,0.39,0.79,0.5,0.41,-0.04
20090501,0.8,0.11,0.82,0.73,0.54,0.17,1.48,1.09,0.98,1.06,0.45
20090504,2.96,4.49,4.83,4.78,5.31,4.54,4.7,4.56,4.65,3.96,3.36
20090505,1.24,-0.27,-0.16,0.01,-0.14,-0.01,-0.16,-0.36,0.34,-0.19,-0.27
20090506,1.71,0.98,0.58,1.26,0.72,0.95,1.47,1.15,1.94,2.26,1.45
20090507,0.25,-2.18,-2.05,-1.62,-2.76,-2.1,-2.71,-2.23,-1.99,-1.03,-1.42
20090508,3,5.7,4.53,4.23,3.76,3.46,3.77,3.51,3.86,2.7,2.48
20090511,1.21,-1.37,-2.18,-1.91,-2.08,-1.8,-2.26,-2.21,-2.7,-2.53,-2.01
20090512,0.04,-1.84,-1.87,-1.67,-1.79,-1.23,-1.23,-1.1,-1.08,-0.1,-0.31
20090513,-2.63,-5.71,-5.43,-5.31,-5.41,-4.32,-4.94,-4.35,-4.28,-3.05,-2.91
20090514,0.96,2.66,2.04,1.97,2,1.62,1.99,1.74,1.28,1.32,1.11
20090515,-0.68,-1.23,-1.05,-0.89,-0.86,-0.85,-1.22,-1.2,-1.32,-1.36,-1.02
20090518,2.96,4.69,4.27,4.22,4.19,3.65,4.27,4.26,3.92,3.33,3.13
20090519,0.57,-0.58,-0.09,0.38,0.63,0.57,0.56,0.59,0.56,0.09,-0.04
20090520,0.19,-0.81,-0.63,-0.65,-0.78,-0.32,-0.61,-0.33,-0.41,-0.14,-0.48
20090521,-1.43,-1.68,-1.7,-1.94,-2.03,-2.14,-2.22,-2.38,-2.16,-1.88,-1.68
20090522,0.42,-0.69,-0.82,-0.8,-0.74,-0.36,-0.26,0.14,-0.06,0.04,-0.15
20090526,1.96,5.64,5.18,4.66,4.18,3.44,3.52,3.43,3.16,2.44,2.78
20090527,-0.26,-2.54,-2.03,-1.83,-1.5,-1.66,-1.51,-1.63,-1.62,-1.76,-1.8
20090528,0.71,0.15,0.4,0.27,0.72,0.63,1.15,1.42,1.72,1.72,1.35
20090529,1.4,1.48,1.94,2.02,1.9,1.56,1.61,1.46,1.67,1.54,1.38
20090601,2.33,4.46,4.49,4.25,4.09,3.65,3.85,3.76,4.25,2.89,2.72
20090602,0.36,1.52,1.48,0.83,0.89,0.57,0.03,-0.08,-0.05,0.26,0.29
20090603,-0.06,-0.54,-0.76,-1.15,-1.75,-1.93,-2.44,-2.29,-2.51,-2.07,-1.39
20090604,2.71,2.37,1.97,1.95,2.1,1.44,1.93,1.55,1.65,1.51,1.18
20090605,0.69,0.1,0.2,-0.5,-0.13,-0.02,0.1,-0.14,-0.24,-0.3,-0.19
20090608,0.55,-1.28,-1.42,-1.02,-0.79,-0.84,-0.49,-0.66,-0.43,-0.19,-0.2
20090609,1.25,0.48,0.74,1.1,0.98,0.89,1.31,1.18,0.77,0.68,0.49
20090610,-0.42,-0.55,-0.45,-0.48,-0.1,-0.24,-0.03,-0.05,-0.15,-0.16,-0.35
20090611,1.79,0.85,0.97,0.58,0.55,0.76,0.9,1.19,0.76,0.76,0.63
