,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,xrm
20100120,-0.16,-1.84,-1.32,-1.35,-1.25,-0.76,-0.94,-0.74,-1.06,-1.06,-0.98
20100121,-0.93,-2.32,-1.61,-1.42,-1.45,-1.24,-1.35,-1.28,-1.53,-1.83,-1.74
20100122,-1.02,-1.55,-1.52,-1.79,-2.15,-2.25,-1.85,-2.18,-2.05,-2.17,-2.14
20100125,-0.24,0.01,0.06,0.13,0.29,0.21,0.16,0.37,0.49,0.45,0.37
20100126,-0.29,-1.32,-1.05,-0.9,-0.33,-0.44,-0.2,-0.31,-0.53,-0.51,-0.45
20100127,-0.06,1.34,1.31,1.01,0.61,0.39,0.09,0.2,0.24,0.52,0.53
20100128,-0.41,-1.81,-1.78,-1.43,-1.65,-1.27,-1.04,-1.38,-1.12,-1.32,-1.18
20100129,-0.48,-0.93,-0.93,-0.91,-1.31,-1.25,-1.6,-1.22,-1.1,-0.9,-0.97
20100201,0.65,1.14,0.97,1.17,1.67,1.65,1.8,1.87,1.76,1.44,1.39
20100202,0.48,0.55,0.46,0.73,1.18,1.2,1.38,1.57,1.38,1.21,1.21
20100203,-0.14,-0.65,-0.46,-0.49,-0.47,-0.58,-0.63,-0.46,-0.88,-0.45,-0.49
20100204,-2.21,-3.5,-3.21,-3.46,-3.48,-3.29,-3.14,-3.36,-3.36,-3.13,-3.14
20100205,0.15,0.9,0.71,0.23,0.16,0.23,-0.1,0.39,0.24,0.26,0.29
20100208,-0.16,-1.21,-1.1,-1.12,-0.77,-0.52,-0.53,-0.53,-0.74,-0.86,-0.79
20100209,0.79,1.56,1.59,1.69,1.55,1.25,1.27,1.46,1.41,1.39,1.33
20100210,-0.12,0.45,0.23,0.28,0.02,-0.14,-0.19,-0.19,-0.27,-0.31,-0.17
20100211,1.08,2.22,1.6,1.4,1.57,1.53,1.53,1.12,1.23,1.1,1.13
20100212,0.5,0.75,0.48,0.73,1.01,0.55,0.51,0.18,-0.19,-0.27,-0.07
20100216,1.1,1.81,1.32,1.72,1.62,1.68,1.6,1.78,2.01,1.77,1.75
20100217,0.51,0.89,0.59,0.51,0.65,0.56,0.54,0.49,0.6,0.5,0.49
20100218,0.25,0.83,0.83,0.63,0.72,0.4,0.71,0.59,0.55,0.68,0.62
20100219,0.25,0.25,0.25,0.55,0.57,0.54,0.44,0.43,0.66,0.37,0.28
20100222,0.78,0.25,0.25,-0.05,-0.08,-0.07,0.06,0.21,-0.26,-0.22,-0.05
20100223,-0.36,-0.64,-1.16,-1.17,-1.31,-1.31,-1.62,-1.57,-1.3,-1.23,-1.24
20100224,0.3,0.84,0.75,0.77,0.72,0.83,0.72,1.13,0.88,0.85,0.94
20100225,-0.45,-0.1,0.01,0.09,-0.03,-0.1,-0.14,0.21,0.29,-0.18,-0.13
20100226,0.11,-0.64,-0.34,-0.47,0.07,0.15,0.26,0.14,0.08,0.16,0.13
20100301,0.93,2.41,2.21,2.41,1.92,1.85,1.6,1.69,1.31,1.04,1.2
20100302,0.87,1.36,0.99,0.94,0.74,0.93,0.82,0.41,0.4,0.31,0.32
20100303,0.44,0.26,0.17,0.2,0.27,0.24,0.17,0.23,0.1,0.01,0.09
20100304,1,0.64,0.58,0.58,0.54,0.23,0.25,0.31,0.03,0.38,0.37
20100305,1.42,2.41,2.17,1.97,1.75,1.58,1.28,1.51,1.67,1.42,1.43
20100308,0.78,0.16,-0.04,0.3,0.3,0.29,0.19,0.2,-0.07,0.05,0.02
20100309,0.41,0.43,0.48,0.45,0.38,0.26,0.17,0.04,0.17,0.1,0.21
20100310,0.67,0.91,0.66,1.01,0.83,0.95,0.77,0.76,0.51,0.41,0.53
20100311,0.51,0.32,0.4,0.33,0.49,0.35,0.43,0.34,0.35,0.41,0.43
20100312,-0.1,-0.39,-0.09,0.03,0.08,0.04,0.24,0.13,0.09,-0.04,-0.02
20100315,-0.32,-0.37,-0.47,-0.36,-0.19,-0.06,-0.21,-0.21,-0.1,-0.03,-0.02
20100316,0.64,0.55,0.56,0.92,0.82,0.92,1.03,1.01,0.92,0.73,0.78
20100317,0.28,0.52,0.63,0.88,0.59,0.97,0.81,0.63,0.74,0.52,0.57
20100318,-0.12,-0.41,-0.08,-0.37,-0.34,-0.4,-0.37,-0.47,-0.36,0.11,-0.1
20100319,-0.66,-1.02,-0.93,-0.88,-1.21,-0.8,-1.05,-0.84,-0.56,-0.53,-0.62
20100322,0.37,1.4,1.38,0.91,1.49,1,0.96,1.25,0.66,0.38,0.67
20100323,0.96,1.16,1.04,1.18,0.93,1,0.96,0.77,0.56,0.7,0.8
20100324,-0.1,-1.14,-1.05,-1.1,-1.04,-0.86,-0.89,-0.58,-0.66,-0.64,-0.6
20100325,-0.08,-0.82,-0.69,-0.68,-0.9,-0.8,-0.75,-0.65,-0.75,-0.2,-0.26
20100326,0.21,-0.18,0.09,0.01,-0.14,-0.06,0.16,0.21,0.04,0.14,0.06
20100329,0.38,0.39,0.45,0.62,0.65,0.77,0.8,0.95,0.87,0.67,0.59
20100330,0.23,0.42,0.15,0.38,0.17,0.19,0.06,0.15,0.08,0.05,0.04
20100331,-0.15,-0.74,-0.86,-0.85,-0.59,-0.41,-0.43,-0.31,-0.32,-0.22,-0.36
20100401,0.19,0.77,0.6,0.79,0.89,0.95,0.96,1.07,1,0.78,0.75
20100405,1.28,2.62,2.01,1.92,1.57,1.52,1.45,1.46,1.16,0.7,0.95
20100406,0.89,0.57,0.61,0.43,0.53,0.3,0.43,0.22,0.13,0.1,0.19
20100407,0.47,0.03,-0.14,-0.17,-0.5,-0.31,-0.41,-0.65,-0.6,-0.48,-0.48
20100408,0.71,0.14,-0.04,0.08,-0.04,-0.25,-0.24,0.26,0.03,0.37,0.31
20100409,0.67,0.3,0.13,0.36,0.72,0.63,0.91,0.75,0.73,0.58,0.66
20100412,0.81,0.61,0.41,0.51,0.67,0.27,0.43,0.15,0.24,0.21,0.23
20100413,0.38,0.29,0.19,0.1,0.23,0.05,0.07,0.11,0.08,-0.03,0.07
20100414,1.83,2.7,2.29,2.19,2.12,1.67,1.36,1.32,1.13,1,1.24
20100415,0.76,0.58,0.42,0.46,0.73,0.11,0.07,0.1,0.05,0.08,0.11
20100416,-0.74,-1.32,-1.12,-1.24,-1.32,-1.27,-1.35,-1.34,-1.6,-1.36,-1.53
20100419,-0.36,-0.4,-0.44,-0.36,-0.49,-0.51,-0.24,-0.24,0.14,0.45,0.28
20100420,1.3,1.44,1.63,1.46,1.62,1.31,1.4,1.2,1.23,0.83,0.88
20100421,0.76,0.38,0.57,0.26,0.53,0.53,0.21,0.17,-0.04,-0.3,-0.06
20100422,1.18,1.23,0.99,1.16,1.07,0.9,1.16,1.11,0.76,0.06,0.37
20100423,1.75,0.82,0.96,0.93,0.97,0.88,1.05,0.82,1.07,0.66,0.7
20100426,1.4,0,-0.68,-0.42,-0.29,-0.63,-0.42,-0.37,-0.35,-0.48,-0.43
20100427,-1.5,-2.4,-2.16,-2.39,-2.32,-2.39,-2.28,-2.68,-2.48,-2.33,-2.34
20100428,0.01,0.33,0.33,0.07,0.13,0.19,0.46,0.45,0.59,0.63,0.56
20100429,0.98,2.41,2.09,1.92,1.64,1.54,1.59,1.57,1.25,1.23,1.34
20100430,-1.23,-3.25,-2.81,-2.96,-2.45,-1.87,-1.46,-1.84,-1.83,-1.51,-1.72
20100503,0.68,2.39,2.1,2.15,1.88,1.59,1.2,1.48,1.43,1.09,1.36
20100504,-1.91,-3.23,-3.05,-2.95,-3.04,-3.04,-2.71,-2.75,-2.68,-2.37,-2.5
20100505,-1.4,-1.97,-1.26,-1.75,-1.02,-1.09,-1.08,-1,-0.65,-0.61,-0.75
20100506,-3.18,-4.41,-3.32,-3.45,-3.45,-3.18,-3.54,-3.23,-3.15,-2.99,-3.27
20100507,-1.88,-2.64,-3.15,-2.91,-2.7,-2.62,-2.61,-2.16,-1.91,-1.42,-1.75
20100510,3.52,5.97,5.26,5.21,5.1,5.1,5.02,4.9,4.75,4.05,4.47
20100511,0.65,1.36,1.19,0.71,0.4,0.23,0.19,-0.3,-0.22,-0.26,-0.17
20100512,1.91,3.32,3.1,2.74,2.54,2.15,2.28,1.99,1.8,1.32,1.63
20100513,0.09,-0.76,-0.79,-0.62,-0.9,-0.84,-0.86,-1.01,-1.07,-1.17,-1.12
20100514,-1.81,-2.41,-2,-1.81,-2.35,-1.99,-2.36,-2.1,-2.12,-1.82,-1.92
20100517,-0.47,0.13,0.44,0.07,0.48,0.16,0.35,0.24,0.24,0.1,0.11
20100518,-1.32,-1.99,-1.83,-1.5,-1.56,-1.51,-1.62,-1.45,-1.46,-1.23,-1.41
20100519,-1.86,-1.57,-1.39,-1.17,-1.07,-0.94,-0.82,-0.72,-0.78,-0.5,-0.63
20100520,-3.72,-5.34,-5.26,-4.81,-4.71,-4.24,-4.19,-4.08,-4.05,-3.72,-3.99
20100521,0.73,1.01,1.4,1.19,1.52,1.35,1.67,1.71,1.7,1.42,1.44
20100524,-0.41,-1.22,-1.41,-1.38,-1.19,-0.78,-1.03,-0.99,-1.49,-1.24,-1.19
20100525,-1.13,-0.55,-0.37,-0.42,-0.22,-0.09,-0.13,0.16,0.17,0.16,-0.03
20100526,0.77,0.35,0.39,0.56,0.37,0.49,0.19,0.33,-0.12,-0.52,-0.35
20100527,2.83,4.81,4.29,4.13,3.8,3.75,3.8,3.73,3.59,3.17,3.45
20100528,-0.23,-1.48,-1.32,-1.11,-1.25,-1.05,-1,-1.12,-1.22,-1.28,-1.18
20100601,-1.84,-3.73,-3.22,-3.22,-2.95,-2.75,-2.75,-2.52,-2.43,-2.07,-1.89
20100602,1.48,3.42,3.15,2.83,2.95,2.79,2.75,2.96,3.01,2.59,2.63
20100603,0.17,1.22,1.1,1.23,1.11,1.03,0.82,0.95,0.9,0.36,0.54
20100604,-2.6,-5.22,-5,-4.66,-4.37,-4.13,-3.79,-3.89,-3.74,-3.43,-3.62
20100607,-2.39,-2.9,-2.52,-2.4,-2.38,-2.24,-2.21,-2.09,-1.45,-1.13,-1.52
20100608,-0.97,-0.64,-0.32,-0.17,-0.17,0.5,0.49,0.72,0.99,1,0.9
20100609,-0.14,-0.16,0.11,0,0.1,0.04,0.03,0.15,-0.18,-0.69,-0.46
20100610,1.69,3.76,3.3,3.46,3.1,3.39,3.2,3.42,3.37,3.04,2.95
20100611,1.01,1.53,1.56,1.62,1.12,1.04,0.99,0.72,0.55,0.58,0.62
20100614,0.41,0.71,0.44,0.18,0.35,0.34,0.28,0.31,0.15,-0.3,-0.06
20100615,1.6,2.59,2.47,2.73,2.46,2.57,2.45,2.48,2.57,2.5,2.36
20100616,-0.11,-0.37,-0.63,-0.49,-0.23,-0.36,-0.38,-0.38,-0.11,-0.12,-0.11
20100617,0.07,0.03,-0.02,-0.12,-0.32,-0.36,-0.22,0.1,-0.04,0.16,0.08
20100618,0.59,0.36,0.12,0.08,0.03,0.16,-0.05,-0.16,0.04,0.26,0.13
20100621,-1.19,-1.27,-1.19,-0.75,-0.81,-0.78,-0.69,-0.68,-0.37,-0.28,-0.47
20100622,-1.12,-1.93,-1.78,-2.14,-2.09,-2.03,-1.89,-1.98,-2.11,-1.71,-1.63
20100623,-0.35,-0.1,-0.28,-0.3,-0.24,-0.05,-0.24,-0.14,-0.11,-0.34,-0.29
20100624,-1.11,-1.53,-1.54,-1.61,-1.84,-1.62,-1.58,-1.77,-1.87,-1.8,-1.65
20100625,0.6,2.46,2.2,1.71,1.24,1.08,0.93,0.7,0.62,0.5,0.48
20100628,-0.86,-0.76,-0.57,-0.15,-0.17,-0.26,-0.29,-0.2,-0.27,-0.33,-0.23
20100629,-2.87,-4.31,-3.87,-3.99,-3.6,-3.62,-3.63,-3.74,-3.32,-3.24,-3.23
20100630,-0.22,-0.69,-1.12,-1.17,-1.02,-0.91,-0.83,-0.8,-0.98,-1.01,-0.98
20100701,-1.43,-0.66,-0.89,-0.67,-0.83,-0.57,-0.67,-0.39,-0.16,-0.15,-0.4
20100702,-0.38,-0.96,-1.06,-1.06,-0.57,-0.93,-0.62,-0.64,-0.54,-0.33,-0.5
20100706,-1.29,-1.71,-1.77,-1.42,-0.98,-0.3,-0.1,0.2,0.35,0.48,0.33
20100707,1,2.97,3.56,3.7,3.76,3.34,3.37,3.49,3.37,3.23,3.17
20100708,1.03,1.6,1.51,1.4,1.57,1.28,1.17,0.8,0.92,1.1,1
20100709,1.45,1.78,1.61,1.49,1.29,1.07,1.02,0.97,0.68,0.83,0.81
20100712,-0.37,-1.62,-1.5,-1.19,-0.93,-0.78,-0.38,-0.53,-0.28,-0.04,-0.11
20100713,2.29,3.83,3.62,3.4,2.82,2.55,2.29,2.05,1.81,1.55,1.76
20100714,-0.03,-0.54,-0.41,-0.16,-0.31,-0.04,-0.26,-0.08,-0.15,-0.02,-0.04
20100715,-0.57,-1.23,-0.97,-0.67,-0.4,-0.11,-0.03,0.01,0.1,0.2,0.02
20100716,-2.2,-4.02,-3.84,-3.86,-3.47,-3.37,-3.12,-3.14,-3.04,-2.76,-2.94
20100719,0.1,0.57,0.35,0.37,0.21,0.68,0.6,0.69,0.8,0.56,0.54
20100720,0.77,1.8,1.8,1.8,1.87,1.43,1.53,1.62,1.33,1.21,1.23
20100721,-0.73,-1.91,-1.88,-1.93,-1.42,-1.45,-1.32,-1.4,-1.38,-1.36,-1.3
20100722,1.97,3.81,4.2,3.57,3.42,2.74,2.69,2.71,2.41,2.13,2.37
20100723,1.39,2.66,2.71,2.35,1.96,1.66,1.45,1.46,1.11,0.86,1.05
20100726,1.37,2.33,2.11,2.17,2.06,1.83,1.81,1.55,1.51,0.93,1.23
20100727,0.09,-0.57,-0.4,-0.24,-0.76,-0.75,-0.79,-0.95,-0.55,-0.29,-0.23
20100728,-0.43,-1.7,-2.1,-1.94,-1.42,-1.35,-1.29,-0.99,-0.94,-0.61,-0.82
20100729,0.29,-0.03,0.39,-0.08,-0.16,-0.46,-0.41,-0.47,-0.36,-0.41,-0.36
20100730,0.5,0.12,0.26,-0.07,0.04,0.16,0.12,0.47,0.15,0.16,0.06
20100802,0.67,1.28,1.47,1.94,2.01,1.82,1.96,2.06,2.22,2.13,2.08
20100803,-0.36,-0.77,-1.03,-0.94,-1.25,-0.83,-0.85,-0.71,-0.79,-0.63,-0.55
20100804,0.68,1.06,0.92,0.97,1.33,1.12,0.99,0.89,1.15,0.78,0.74
20100805,-0.3,-1.26,-1.1,-0.78,-1.03,-0.48,-0.43,-0.39,-0.16,0.1,-0.22
20100806,-0.18,-0.83,-0.9,-0.54,-0.41,-0.53,-0.02,-0.37,-0.43,-0.32,-0.36
20100809,0.51,1.19,1.41,1.22,1.12,0.93,0.91,0.64,0.65,0.58,0.62
20100810,-1.17,-2.31,-1.97,-1.92,-2.06,-1.22,-1.39,-1.21,-0.77,-0.48,-0.79
20100811,-2.53,-4.39,-4.32,-3.77,-3.83,-3.51,-3.27,-3.16,-3.1,-2.83,-2.91
20100812,-0.31,-0.48,-0.52,-0.53,-0.42,-0.58,-0.48,-0.42,-0.49,-0.35,-0.5
20100813,-0.42,-1.42,-1.23,-1.28,-0.99,-0.62,-0.4,-0.39,-0.19,-0.5,-0.47
20100816,0.07,1.3,1.41,0.88,0.45,0.27,-0.12,0.1,-0.12,0,0.1
20100817,1,1.88,1.98,1.47,1.73,1.67,1.59,1.62,1.73,1.3,1.31
20100818,0.12,0.04,0.12,0.56,0.45,0.35,0.39,0.27,0.16,0.2,0.21
20100819,-1.65,-3.14,-2.84,-2.47,-2.22,-1.84,-1.68,-1.21,-1.84,-1.8,-1.74
20100820,-0.11,0.12,-0.03,-0.09,-0.22,-0.07,-0.19,-0.26,-0.01,-0.31,-0.28
20100823,-1.41,-1.82,-1.27,-1.26,-1.19,-0.87,-0.81,-0.68,-0.57,-0.41,-0.5
20100824,-1.24,-1.3,-1.31,-1.23,-1.49,-1.61,-1.55,-1.68,-1.67,-1.53,-1.48
20100825,0.34,1.9,1.59,1.31,1.17,0.96,0.61,0.47,0.33,0.37,0.45
20100826,-0.48,-0.93,-1.02,-0.73,-0.84,-0.67,-0.66,-0.66,-0.78,-0.7,-0.76
20100827,1.7,3.29,2.96,2.68,2.71,2.19,2.27,2.05,1.99,1.81,1.82
20100830,-1.17,-2.75,-2.51,-2.29,-2.23,-1.85,-1.77,-1.7,-1.7,-1.49,-1.54
20100831,0.06,-0.05,0.1,-0.14,-0.14,-0.25,-0.19,0.03,-0.05,-0.14,0.01
20100901,1.86,3.84,4.14,3.93,3.68,3.58,3.18,3.31,3.34,3.07,3.05
20100902,0.6,0.95,1.2,1.22,1.66,1.82,1.21,1.31,1.48,0.96,0.97
20100903,1.13,1.59,1.87,1.78,1.84,1.48,1.3,1.47,1.23,1.34,1.35
20100907,-1.18,-2.72,-2.43,-2.09,-2.02,-1.57,-1.54,-1.47,-1.3,-1.19,-1.23
20100908,0.62,1.04,0.76,0.7,0.69,0.64,0.44,0.83,0.67,0.66,0.65
20100909,0.24,-0.02,0.21,0.21,0.13,0.39,0.32,0.24,0.4,0.4,0.44
20100910,0.7,0.06,0.34,0.4,0.39,0.33,0.3,0.36,0.5,0.59,0.45
20100913,1.69,2.46,2.58,2.63,2.33,1.84,1.51,1.62,1.25,1.02,1.3
20100914,-0.21,-0.76,-0.54,-0.21,-0.19,-0.13,0,-0.05,0.28,-0.03,-0.06
20100915,0.06,0.46,0.56,0.49,0.34,0.43,0.28,0.3,0.29,0.35,0.36
20100916,-0.18,-1.01,-0.81,-0.46,-0.45,-0.29,-0.17,-0.28,-0.19,-0.05,-0.07
20100917,0.38,0.46,0.8,0.6,0.5,0.51,0.32,0.14,0.18,0.07,0.15
20100920,1.7,3.22,2.96,2.75,2.28,1.78,1.64,1.68,1.69,1.45,1.6
20100921,-0.18,-0.89,-0.8,-0.61,-0.54,-0.58,-0.43,-0.47,-0.47,-0.19,-0.31
20100922,-0.44,-1.33,-1.29,-1.09,-1.2,-1.04,-0.68,-0.67,-0.81,-0.33,-0.52
20100923,-0.31,-1.12,-1.38,-0.92,-0.91,-0.79,-0.76,-0.5,-0.84,-0.76,-0.78
20100924,1.6,3.81,3.46,3.15,2.98,2.64,2.39,2.49,2.42,2.23,2.19
20100927,0.01,-0.23,-0.29,-0.45,-0.26,-0.2,-0.1,-0.48,-0.5,-0.54,-0.46
20100928,0.76,1.36,1.1,1.09,0.92,0.98,0.74,0.8,1,0.57,0.58
20100929,0.17,0.6,0.43,0.43,0.33,0.19,0.08,0.07,0.04,-0.32,-0.17
20100930,0.44,0.13,-0.24,-0.32,-0.01,0.18,0.14,-0.08,-0.29,-0.33,-0.26
20101001,0.27,0.78,0.5,0.4,0.5,0.13,0.37,0.35,0.37,0.4,0.43
20101004,-0.77,-1.66,-1.82,-1.61,-1.44,-1.23,-1.17,-0.85,-0.99,-0.78,-0.88
20101005,1.66,3.22,3.2,2.59,2.69,2.22,1.81,2.29,2.24,2.06,2.11
20101006,0.35,-0.38,-0.53,-0.59,-0.44,-0.7,-0.29,-0.42,-0.62,0.01,-0.1
20101007,-0.24,-0.18,-0.15,-0.12,-0.04,-0.18,-0.14,-0.05,-0.15,-0.23,-0.16
20101008,1.02,1.95,1.64,1.25,1.4,1.04,0.93,0.92,0.89,0.65,0.74
20101011,0.1,0.02,0.15,-0.1,0.17,0.15,0.24,0.21,0.06,-0.02,0.04
20101012,0.67,0.49,0.42,0.36,0.44,0.43,0.33,0.26,0.46,0.3,0.39
20101013,1.06,2,1.81,1.18,1.35,1.04,0.79,0.62,0.81,0.89,0.78
20101014,-0.08,0.02,-0.17,-0.4,-0.46,-0.72,-0.64,-0.82,-0.36,-0.27,-0.38
20101015,0.12,-0.22,-0.14,-0.18,-0.23,0.03,0.07,0.28,0.22,0.35,0.18
20101018,0.74,1.38,1.23,0.85,0.53,0.52,0.43,0.26,0.38,0.67,0.69
20101019,-1.41,-2.74,-2.48,-2.13,-2.06,-1.79,-1.73,-1.62,-1.73,-1.53,-1.67
20101020,0.91,1.17,1.08,0.88,1.06,1.28,0.73,1.06,1.03,1.21,1.06
20101021,-0.4,-0.7,-0.53,-0.43,-0.41,-0.27,-0.28,0.03,0.19,0.27,0.11
20101022,0.53,0.73,0.88,0.59,0.68,1.08,0.66,0.52,0.46,0.18,0.29
20101025,0.39,0.69,0.61,0.52,0.85,0.63,0.27,0.59,0.31,0.29,0.31
20101026,0.5,-0.08,-0.15,-0.2,-0.09,-0.15,-0.27,-0.01,0.02,-0.05,0.02
20101027,-0.6,-0.5,-0.46,-0.13,-0.57,-0.02,-0.24,0.04,-0.07,-0.14,-0.24
20101028,-0.29,-0.38,-0.98,-0.34,-0.31,-0.18,-0.05,-0.07,0.08,0.15,0.08
20101029,0.57,0.26,0.11,0.34,0.38,0.53,0.36,0.59,0.1,0.02,0.07
20101101,-0.71,-0.74,-0.94,-0.8,-0.38,-0.26,0.08,-0.03,-0.07,0.06,-0.01
20101102,1.08,2.3,2.35,2.04,1.64,1.09,1.17,1.03,0.96,0.73,0.9
20101103,0.1,0.49,0.38,0.52,0.37,0.29,0.12,0.26,0.21,0.35,0.38
20101104,1.37,2.79,2.35,2.58,2.57,1.94,1.8,2.02,1.94,1.88,1.94
20101105,0.9,0.15,0.34,0.74,0.48,0.7,0.62,0.41,0.47,0.33,0.41
20101108,0.37,0.42,0.17,0.28,-0.03,-0.12,0.16,0.09,-0.13,-0.23,-0.12
20101109,-0.68,-1.51,-1.24,-1.33,-1.18,-0.77,-0.9,-0.85,-0.77,-0.75,-0.78
20101110,0.56,1.57,1.27,1.11,1.24,0.73,0.74,0.78,0.44,0.41,0.53
20101111,-0.5,-0.62,-0.44,-0.34,-0.26,-0.09,-0.12,-0.01,-0.01,-0.3,-0.35
20101112,-0.99,-1.83,-1.77,-1.61,-1.56,-1.33,-1.45,-1.47,-1.29,-1.25,-1.29
20101115,0.13,0.16,0.11,0.38,-0.01,0.15,-0.19,0.25,-0.18,-0.07,-0.09
20101116,-1.49,-2.08,-1.96,-1.64,-1.86,-1.55,-1.51,-1.57,-1.7,-1.52,-1.58
20101117,-0.09,0.22,0.14,0.16,0.4,0.43,0.36,0.44,0.24,0.08,0.07
20101118,0.84,2.35,1.91,1.6,1.77,1.4,1.32,1.35,1.45,1.59,1.57
20101119,0.5,0,0.41,0.48,0.5,0.48,0.4,0.38,0.62,0.27,0.31
20101122,-0.36,0.3,0.4,0.15,0.5,0.83,0.36,0.43,0.21,-0.21,-0.02
20101123,-0.75,-1.09,-0.89,-1.08,-0.87,-1.03,-1.27,-1.35,-1.46,-1.44,-1.38
20101124,1.12,2.37,2.19,2.01,2.21,1.97,1.65,1.86,1.83,1.48,1.59
20101126,0.31,-0.37,-0.56,-0.49,-0.62,-0.57,-0.53,-0.56,-0.64,-0.79,-0.67
20101129,-0.01,0.25,0.07,-0.24,-0.16,-0.37,-0.19,-0.14,-0.25,-0.07,-0.13
20101130,-0.5,-0.73,-0.74,-0.96,-0.76,-0.16,-0.54,-0.48,-0.51,-0.55,-0.59
20101201,0.59,1.74,2.12,2.31,2.37,2.15,1.89,2.18,2.24,2.22,2.12
20101202,0.6,0.99,1.05,1.17,1.38,1.35,1.55,1.5,1.29,1.29,1.23
20101203,0.43,0.73,0.82,0.88,0.69,0.77,0.82,0.6,0.33,0.26,0.35
20101206,0.46,0.71,0.75,0.58,0.52,0.11,-0.1,0.04,-0.17,-0.19,-0.03
20101207,0.14,0.73,0.69,0.43,0.22,0.13,0.06,-0.01,-0.06,-0.02,0.1
20101208,0.02,-0.01,0.16,0.26,0.04,0.14,0.18,0.03,0.31,0.4,0.32
20101209,0.72,0.62,0.59,0.29,0.67,0.5,0.53,0.39,0.38,0.39,0.42
20101210,0.65,1.35,1.23,1.18,1.05,1.21,0.77,0.81,0.57,0.53,0.67
20101213,-0.03,-0.46,-0.51,-0.77,-0.46,-0.42,0.03,-0.33,-0.07,0.01,-0.08
20101214,-0.12,0.19,-0.02,-0.06,0.06,-0.07,0.02,0.15,-0.05,0.21,0.09
20101215,-0.19,-0.28,-0.26,-0.39,-0.65,-0.52,-0.55,-0.37,-0.55,-0.62,-0.49
20101216,0.75,1.24,1.14,0.84,1.05,0.9,1.1,0.91,0.87,0.57,0.7
20101217,0.5,0.12,0.57,0.4,0.3,0.26,0.35,0.49,0.36,-0.01,0.15
20101220,0.03,0.59,0.35,0.18,0.33,0.03,0.16,0.3,0.37,0.19,0.23
20101221,1.25,1.12,1.09,1.13,1.2,0.87,0.72,0.69,0.73,0.5,0.68
20101222,0.52,0.11,0.02,0.33,0.08,0.29,0.43,0.15,0.22,0.36,0.29
20101223,0.4,-0.14,-0.12,-0.17,-0.19,-0.36,-0.21,-0.28,-0.22,-0.16,-0.16
20101227,0.7,0.81,0.47,0.29,0.15,0.1,-0.01,-0.06,0.03,0.02,0.08
20101228,0.18,-0.5,-0.47,-0.44,-0.29,-0.13,-0.17,-0.06,-0.12,0.05,0
20101229,0.44,0.11,0.28,0.12,0.28,0.34,0.27,0.25,0.28,0.17,0.17
20101230,0.38,-0.06,-0.09,0.1,-0.02,0.01,0.13,-0.09,-0.1,-0.11,-0.11
20101231,0.33,-0.63,-0.75,-0.71,-0.61,-0.58,-0.38,-0.39,-0.02,0.04,-0.1
20110103,1.49,1.99,1.92,1.95,1.53,1.37,1.3,1.11,1.16,0.95,1.18
20110104,-0.23,-1.89,-1.74,-1.24,-1.31,-1.06,-0.76,-0.64,-0.71,-0.04,-0.26
20110105,1.4,1.27,1.38,1.23,0.92,0.88,0.62,0.45,0.59,0.56,0.59
20110106,0.43,-0.52,-0.36,-0.31,-0.24,-0.11,-0.06,-0.08,-0.4,-0.04,-0.15
20110107,-0.29,-0.77,-0.38,-0.51,-0.49,-0.21,-0.1,-0.11,-0.17,-0.09,-0.21
20110110,0.56,0.17,0.32,0.4,0.45,0.57,0.08,0.19,0,-0.12,-0.02
20110111,0.85,0.52,0.43,0.42,0.45,0.38,0.63,0.47,0.49,0.44,0.39
20110112,0.98,0.89,0.91,0.87,0.88,0.92,0.76,0.82,0.93,0.8,0.87
20110113,0.28,-0.47,0.01,0.16,-0.29,-0.02,-0.29,-0.1,-0.05,-0.12,-0.17
20110114,0.7,0.81,0.99,1.08,0.69,0.69,0.51,0.7,0.6,0.77,0.69
20110118,0.27,-0.27,-0.06,0.12,0.31,0.43,0.65,0.38,0.39,0.3,0.18
20110119,-2.09,-3.1,-2.49,-2.31,-2.17,-1.6,-1.32,-1.65,-1.38,-1.07,-1.24
20110120,-0.96,-1.32,-1.16,-1.01,-0.68,-0.9,-0.47,-0.52,-0.27,-0.03,-0.3
20110121,0.12,-0.6,-0.49,-0.72,-0.82,-0.23,-0.24,-0.04,0.15,0.19,0.11
20110124,0.48,1.13,0.77,0.76,0.63,0.77,0.87,0.76,0.52,0.52,0.65
20110125,-0.11,0.1,-0.07,0.03,0.03,-0.08,-0.04,0.01,-0.28,0.13,0.02
20110126,1.49,2.06,2.1,1.48,1.54,1.01,1.15,0.93,0.73,0.33,0.6
20110127,0.27,-0.18,0.13,0.29,0.52,0.72,0.35,0.46,0.4,0.21,0.26
20110128,-1.94,-3.06,-2.58,-2.61,-2.4,-1.87,-1.9,-1.7,-1.86,-1.81,-1.88
20110131,0.45,0.44,0.65,0.69,0.7,0.81,0.67,0.87,0.98,0.65,0.71
20110201,1.11,2.61,2.71,2.11,2.07,1.63,1.55,1.53,1.41,1.64,1.75
20110202,0.16,-0.4,-0.47,-0.16,-0.58,-0.1,-0.4,-0.13,-0.36,-0.24,-0.26
20110203,0.12,-0.14,0.46,0.37,0.34,0.69,0.42,0.44,0.59,0.15,0.26
20110204,0.13,-0.1,0.19,0.17,0.49,0.71,0.54,0.58,0.57,0.27,0.29
