,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19411108,-0.08,-0.85,0.06,0.19,0.84,0.25,0.3,-0.72,0.1,0.001
19411115,-1.86,-1.73,-2.68,-1,-1.29,-1.3,-1.27,-0.89,-0.56,0.001
19411122,1.36,-0.17,1.88,0.49,1.39,1.13,0.85,0.02,0.58,0.001
19411129,-0.59,-2.37,-2.39,-2.21,-1.7,-2.59,-2.12,0.38,-1.09,0.001
19411206,1.7,1.33,0.57,2.09,3.28,2.4,2.51,-1.39,-0.4,0.002
19411213,-6.26,-8.29,-12.41,-5.66,-5.82,-11.23,-6.41,-1.42,-5.87,0.002
19411220,-2.18,-2.72,-2.03,-3.81,-0.75,0.41,-2.4,-0.93,2.19,0.002
19411227,-0.67,-1.29,-0.85,-1.11,-1.25,-2,-1.07,0.52,-0.54,0.002
19420103,7.74,10.21,11.58,6.87,3.03,7.82,5.83,3.94,2.4,0.004
19420110,1.85,2.05,0.8,-2.9,-2.21,0.2,-2.12,3.2,1.03,0.004
19420117,0.83,1.74,2.5,0.29,1.94,2.15,1.01,0.23,1.77,0.004
19420124,-1.24,-0.15,1.09,-1.41,0.04,1.39,-0.64,-0.1,2.57,0.004
19420131,-0.35,0.09,0.24,-0.42,-1.11,0.21,-0.48,0.43,0.61,0.004
19420207,1.2,0.71,1.42,0.05,0.39,1.38,0.29,0.51,0.77,0.003
19420214,-1.59,-2.44,-3.61,-1.96,-1.9,-2.61,-2.13,-0.39,-1.34,0.003
19420221,-0.83,-0.34,-0.53,-1.28,-2.5,-1.97,-1.66,1.36,-0.2,0.003
19420228,1.72,0.98,1.13,0.9,1.23,1.03,1.06,0.22,-0.23,0.003
19420307,-2.9,-3.94,-3.87,-3.58,-4.76,-4.04,-4.14,0.56,-0.72,0.003
19420314,-0.76,0.17,-1.33,-1.83,-2.07,-2.56,-2.03,1.52,-0.65,0.003
19420321,0.51,0.52,1.14,0.79,0.98,2.37,0.96,-0.66,1.11,0.003
19420328,-1.5,-0.56,-1.17,-1.02,-1.5,-0.85,-1.17,0.05,0.25,0.003
19420404,0.31,1.31,0.99,1.27,0.75,-0.15,1,0.25,-0.37,0.002
19420411,-1.34,-1.22,-1.87,-1.39,-1.15,-0.89,-1.36,-0.33,-0.02,0.002
19420418,-3.31,-2.94,-2.84,-1.9,-3.03,-2.73,-2.5,-0.48,-0.18,0.002
19420425,-0.73,-0.9,-1.32,-2.9,-2.46,-2.17,-2.53,1.52,0.07,0.002
19420502,-0.93,0.58,1.8,1.48,2.21,3.57,2.07,-1.94,2.41,0.006
19420509,-0.01,1.03,1.08,1.85,2.69,0.42,1.87,-0.95,-0.17,0.006
19420516,-1.02,-1.05,-0.97,1.12,-0.6,-0.49,0.35,-1.03,-0.78,0.006
19420523,-0.04,0.68,-0.4,1.48,0.57,-1.27,0.91,-0.18,-1.56,0.006
19420529,0.77,0.89,0.87,1.41,1.06,0.56,1.31,-0.17,-0.38,0.006
19420606,2.3,2.99,3.25,3.99,3.23,2.08,3.53,-0.25,-0.49,0.006
19420613,-0.63,-0.5,-0.69,0.09,-0.5,-0.84,-0.26,-0.19,-0.5,0.006
19420620,0.29,0.43,0.63,-0.11,0.81,0.34,0.18,0.1,0.39,0.006
19420627,-1.1,-1.24,-0.86,-1.3,-1.11,0,-1.15,-0.26,0.77,0.006
19420703,1.3,1.14,1.49,2.05,1.61,3.23,1.95,-0.99,0.69,0.006
19420711,4,4.28,4.74,3.55,4.91,4.89,3.95,-0.11,1.04,0.006
19420718,-0.51,-0.55,-0.9,-0.64,-1.32,-0.96,-0.84,0.32,-0.36,0.006
19420725,0.02,-0.78,-0.68,-0.92,-0.07,1.04,-0.51,-0.5,0.63,0.006
19420801,0.27,-0.02,0.59,-0.73,-0.64,0.6,-0.57,0.54,0.82,0.007
19420808,-0.22,-0.86,-1.69,-0.19,-0.89,-1,-0.54,-0.23,-1.14,0.007
19420815,1.31,1.1,1.37,1.26,2.04,3.37,1.57,-0.96,1.08,0.007
19420822,1.46,2.11,3.67,1.18,1.18,3.62,1.42,0.42,2.33,0.007
19420829,-0.35,-0.2,-1.91,-0.79,-0.48,-2.25,-0.82,0.35,-1.51,0.007
19420905,-0.36,0.44,1.04,0.44,0.01,0.46,0.27,0.08,0.71,0.007
19420912,-0.39,-0.56,-0.4,-0.55,-0.63,-0.92,-0.58,0.25,-0.19,0.007
19420919,0.89,0.95,3.13,0.77,1.59,2.3,1.07,0.11,1.88,0.007
19420926,2.61,2.43,3.23,2.38,2.14,2.2,2.25,0.52,0.22,0.007
19421003,1.3,2.72,3.17,1.47,2.69,4.68,2.01,-0.55,2.54,0.008
19421010,2.81,3.79,5.66,3.3,4.27,4.88,3.79,-0.06,2.21,0.008
19421017,1.17,-0.47,1.11,-0.69,-0.81,-1.63,-0.72,1.65,-0.5,0.008
19421024,1.28,2.05,2.28,1.69,1.38,1.88,1.65,0.22,0.6,0.008
19421031,0.33,-0.59,-0.07,-0.75,-0.1,1.62,-0.35,-0.37,0.98,0.008
19421107,2.37,2.24,2.48,2.31,2.57,1.48,2.27,0.25,-0.36,0.007
19421114,-0.89,-0.89,-1.01,-0.18,-0.67,-2.37,-0.5,0.14,-1.16,0.007
19421121,-0.32,-1.66,-1.67,-0.21,-0.28,-1.42,-0.45,-0.58,-1.28,0.007
19421128,-1.22,-1.51,-2.05,-0.71,-1.12,-1.74,-0.95,-0.4,-0.93,0.007
19421205,-0.1,0.02,-1.24,0.83,0.2,1.03,0.55,-1.13,-0.47,0.007
19421212,-0.78,0.53,-0.77,0.61,0.94,-1.08,0.56,-0.5,-0.84,0.007
19421219,2.8,3.31,3.79,2.14,3.68,4.37,2.78,-0.1,1.61,0.007
19421226,0.03,-0.25,-0.51,1.03,0.88,0.17,0.8,-0.94,-0.7,0.007
19430102,1.82,1.56,2.5,0.65,0.86,2.05,0.96,0.78,1.04,0.007
19430109,2.49,2.7,5.18,0.51,1.09,1.19,0.94,2.53,1.69,0.007
19430116,3.05,4,6.26,1.59,1.69,3.72,1.97,2.1,2.67,0.007
19430123,1.91,1.63,1.35,0.47,1.05,0.16,0.66,1.07,-0.44,0.007
19430130,2.21,3.16,6.77,2.13,3.06,3.29,2.6,1.22,2.86,0.007
19430206,1.61,1.05,1.44,0.38,0.62,0.75,0.53,0.78,0.1,0.007
19430213,2.7,2.85,8.07,1.86,2.62,1.9,2.21,2.41,2.7,0.007
19430220,2.8,0.85,1.84,0.39,1.26,2.4,0.76,0.48,0.52,0.007
19430227,3.98,4.24,5.37,2.12,2.36,5.86,2.54,1.09,2.56,0.007
19430306,2.13,1.92,3.59,0.41,0.99,1.87,0.95,1.46,1.46,0.008
19430313,1.35,2.4,3.98,0.19,0.81,1.38,0.59,1.79,1.91,0.008
19430320,-0.65,-0.87,-2.94,-0.89,-1.71,-2.69,-1.34,0.28,-2.04,0.008
19430327,5.36,5.63,5.97,3.19,4.75,6.41,3.97,0.87,1.91,0.008
19430403,1.79,2.46,7.5,0.47,2.47,4.85,1.66,1.32,5.04,0.007
19430410,-4.34,-4.05,-5.51,-2.15,-3.82,-4.03,-2.95,-1.3,-1.53,0.007
19430417,2.66,3.84,6.06,1.28,3.03,2.89,2.2,1.78,2.51,0.007
19430424,0.55,1.79,3.19,0.58,1.12,2.07,0.94,0.59,2.07,0.007
19430501,1.61,1.65,2.57,1.42,1.33,2.16,1.46,0.31,0.85,0.006
19430508,4.98,3.23,7.18,1.93,2.82,3.42,2.48,2.41,1.85,0.006
19430515,-1.85,-1.45,-0.71,-0.73,-1.61,-3.35,-1.25,0.56,-0.74,0.006
19430522,2.44,3.52,2.77,1.37,1.75,2.05,1.6,1.19,0.51,0.006
19430529,2.69,2.7,1.81,1.95,2.2,3.65,2.27,-0.2,0.41,0.006
19430605,0.83,1.11,1.88,1.22,1.23,-0.16,1.2,0.51,-0.16,0.008
19430612,-0.82,-1.03,-3.57,-0.81,-1.63,-2.79,-1.35,-0.06,-2.37,0.008
19430619,-2.09,-1.61,-2.3,-0.86,-0.82,-1.26,-1.01,-1.02,-0.31,0.008
19430626,1.59,2.42,3.71,2.07,2.5,3.32,2.36,-0.05,1.68,0.008
19430703,1.39,1.46,1.14,0.63,1.28,2.09,1,-0.01,0.6,0.007
19430710,0.03,-0.07,0.1,0.26,1.09,0.67,0.47,-0.65,0.24,0.007
19430717,0.42,0.49,1.7,0.7,2.23,1.74,1.15,-0.68,1.16,0.007
19430724,0.1,0,-0.89,-0.47,0.01,-0.1,-0.38,-0.08,-0.31,0.007
19430731,-6.37,-8.13,-10.42,-5.27,-7.16,-8.78,-6.24,-1.23,-3.78,0.007
19430807,-0.66,-1.16,-2.42,-0.57,-0.56,-1.96,-0.72,-0.38,-1.58,0.007
19430814,1.21,2.36,3.88,1.87,1.93,2.76,2,0.3,1.78,0.007
19430821,-0.24,-1.62,-2.37,-0.68,-1.21,-2.5,-0.99,0.06,-1.97,0.007
19430828,-0.81,-0.58,0.12,0.21,0.03,0.18,0.06,-0.56,0.45,0.007
19430904,1.33,1.89,2.17,1.2,1.77,1.56,1.47,0.29,0.6,0.007
19430911,0.61,0.83,2.55,0.66,0.91,0.46,0.73,0.66,0.87,0.007
19430918,1.92,2.54,3.74,1.69,1.86,3.65,2.04,0.34,1.89,0.007
19430925,0.01,-0.66,-0.16,-0.32,-0.22,-0.9,-0.45,0.21,-0.37,0.007
19431002,0.45,0.43,-0.69,-0.34,-0.27,0.09,-0.31,0.23,-0.35,0.007
19431009,-2.66,-2.94,-3.24,-2.22,-2.2,-2.53,-2.33,-0.63,-0.45,0.007
19431016,0.37,0.5,0.66,0.55,0.66,1.1,0.65,-0.26,0.42,0.007
19431023,0.92,0.89,1.6,0.07,0.4,0.83,0.23,0.7,0.72,0.007
19431030,0.3,0.62,1.23,0.17,0.04,0.67,0.22,0.42,0.72,0.007
19431106,-2.62,-3.56,-5.48,-1.92,-2.77,-5.03,-2.53,-0.65,-2.99,0.007
19431113,-3.21,-3.17,-4.72,-2.14,-2.24,-2.8,-2.35,-1.31,-1.08,0.007
19431120,1.5,1.77,4.3,1.15,1.15,3.04,1.41,0.74,2.35,0.007
19431127,-1.51,-1.57,-3.69,-1.2,-1.84,-3.73,-1.65,0,-2.35,0.007
19431204,0.33,0.83,3.25,1.29,0.86,1.41,1.2,0.28,1.52,0.007
19431211,3.9,4.56,4.16,2.46,3.77,3.7,2.95,0.9,0.75,0.007
19431218,-0.13,0.99,0.82,0.72,0.32,1,0.65,-0.12,0.62,0.007
19431224,0.47,0.4,0.65,-0.02,0.08,-0.81,-0.04,0.76,-0.31,0.007
19431231,1.4,1.47,1.36,0.44,0.79,0.83,0.57,0.72,0.17,0.007
19440108,2.58,2.54,3.99,1.04,1.93,2.73,1.55,1.14,1.55,0.007
19440115,1.3,2.28,1.84,0.36,0.11,1.83,0.58,1.04,1.01,0.007
19440122,0.61,0.14,-0.13,-0.02,-0.02,0.68,0.03,-0.01,-0.02,0.007
19440129,0.11,-0.83,-0.98,-0.8,-0.63,-0.81,-0.65,0.18,-0.55,0.007
19440205,0.15,-0.49,-0.37,-1.27,-0.83,-0.77,-1.08,0.72,-0.01,0.007
19440211,-0.1,0.29,2.03,0.7,0.4,2.09,0.72,-0.32,1.76,0.007
19440219,0.9,0.75,1.03,0.33,0.74,1.08,0.53,0.18,0.44,0.007
19440226,0.79,1.07,1.63,0.64,1.44,1.5,0.89,-0.03,0.85,0.007
19440304,0.32,0.15,-1.8,0.6,-0.02,-0.56,0.26,-0.45,-1.64,0.006
19440311,2.09,3.88,3.77,2.37,1.82,3.26,2.32,0.76,1.28,0.006
19440318,0.49,1.82,3.19,0.36,1.87,2.49,0.98,0.26,2.41,0.006
19440325,-0.18,-0.85,0.5,-0.76,-0.8,-1.23,-0.76,0.75,0.1,0.006
19440401,-0.66,-1.49,-1.52,-0.44,-1.06,-1.32,-0.74,-0.28,-0.87,0.007
19440408,0.08,0.09,0.3,0.28,-0.02,0.24,0.18,-0.01,0.09,0.007
19440415,-1.09,-1.19,-1.43,-0.64,-0.94,-0.17,-0.7,-0.66,0.07,0.007
19440422,-1.72,-1.81,-2.9,-1.08,-1.75,-2.03,-1.41,-0.53,-1.06,0.007
19440429,0.37,0.14,0.33,0.01,0.89,0.18,0.2,-0.08,0.07,0.007
19440506,1.91,2.26,1.77,1.82,1.36,1.57,1.65,0.4,-0.2,0.006
19440513,-0.88,-0.75,-1.27,-0.16,-0.25,-1.49,-0.32,-0.33,-0.86,0.006
19440520,2.01,2.21,3.73,1.06,1.63,2.98,1.55,0.76,1.82,0.006
19440527,1.16,2.09,1.58,1.13,1.01,1.02,1.21,0.56,0.15,0.006
19440603,1.46,1.11,0.64,0.79,0.88,0.84,0.84,0.23,-0.38,0.007
19440610,0.37,0.46,-0.21,0.44,-0.33,-0.86,0.1,0.46,-0.94,0.007
19440617,4.98,5.35,6.46,3.53,4.66,5.85,4.1,0.92,1.9,0.007
19440624,1.63,0.97,2.01,0.09,0.13,1.13,0.32,1.09,0.71,0.007
19440701,2.28,3.43,3.51,0.8,1.09,1.6,1.1,1.91,1.02,0.007
19440708,2.17,2.49,3.35,1.1,2.03,3.49,1.7,0.46,1.79,0.007
19440715,0.03,0.46,0.75,0.52,-0.47,-0.53,0.14,0.57,-0.17,0.007
19440722,-3.99,-6.06,-7.79,-3.37,-3.68,-5.26,-3.85,-1.84,-2.85,0.007
19440729,1.27,1.75,2.3,0.27,0.57,1.59,0.55,0.97,1.18,0.007
19440805,1.54,-0.34,-1.44,-0.68,-0.62,-0.73,-0.65,0.6,-1.52,0.007
19440812,2.15,2.06,2.79,1.21,1.64,1.68,1.47,0.82,0.56,0.007
19440818,2.54,3.03,2.43,1.67,1.87,1.91,1.86,0.85,0.07,0.007
19440825,-2.11,-1.76,-3.2,-1.13,-1.72,-2.31,-1.44,-0.64,-1.13,0.007
19440901,1.71,1.66,1.63,0.46,0.4,0.74,0.58,1.13,0.09,0.006
19440909,-3.17,-3.68,-5.11,-2.75,-3.66,-4.72,-3.29,-0.28,-1.95,0.006
19440916,0.56,-0.08,0.08,0.67,0.9,0.25,0.66,-0.42,-0.45,0.006
19440923,2.35,1.85,1.88,1.07,1.46,2.14,1.33,0.47,0.3,0.006
19440930,1.15,1.69,2.86,1.09,0.9,1.9,1.11,0.61,1.26,0.006
19441007,0.96,2.2,2.27,1.38,1.91,2.14,1.61,0,1.04,0.008
19441014,0.39,-0.08,-0.63,0,-0.04,-0.67,-0.1,0.13,-0.84,0.008
19441021,0.6,0.48,0.25,0.14,0.09,0.23,0.17,0.29,-0.13,0.008
19441028,-1.56,-2.22,-2.56,-1.43,-1.06,-1.73,-1.43,-0.71,-0.65,0.008
19441104,0.42,0.9,1.75,0.62,0.98,1.25,0.83,0.07,0.98,0.007
19441110,0.55,1.6,1.44,0.63,0.69,1.49,0.82,0.26,0.87,0.007
19441118,-2.62,-2.32,-2.77,-1.43,-1.21,-2.14,-1.6,-0.98,-0.43,0.007
19441125,1.69,1.37,1.13,0.5,0.77,1.51,0.72,0.47,0.23,0.007
19441202,1.61,2.02,3.38,0.82,1.13,1.76,1.13,1.1,1.36,0.006
19441209,2.74,3.75,4.84,1.94,2.68,4.3,2.49,0.81,2.23,0.006
19441216,1.27,1.96,1.92,0.77,0.96,2.59,1.03,0.28,1.24,0.006
19441223,-0.76,-0.77,-0.07,-1.11,-0.83,0.44,-0.86,-0.03,1.12,0.006
19441230,1.96,1.41,2.29,0.82,1.52,1.42,1.13,0.63,0.46,0.006
19450106,2.12,1.26,1.81,0.65,1.63,2.85,1.23,0.02,0.95,0.006
19450113,1.54,2.29,3.54,0.83,1.9,3.86,1.63,0.26,2.52,0.006
19450120,-0.91,-1.07,-3.36,-1.21,-1.76,-4.87,-1.8,0.83,-3.06,0.006
19450127,1.99,1.9,2.78,0.83,1.37,2.48,1.25,0.66,1.22,0.006
19450203,2.23,2.95,2.64,0.69,1.41,2.17,1.19,1.18,0.95,0.006
19450210,0.86,0.94,1.13,0.74,0.3,0.68,0.63,0.4,0.1,0.006
19450217,1.86,3.35,3.22,2.11,2.45,3.95,2.47,-0.03,1.6,0.006
19450224,0.24,-0.03,0.44,0.44,0.14,0.2,0.34,-0.04,-0.02,0.006
19450303,1.56,1.17,2.39,0.5,1.24,1.56,0.92,0.61,0.95,0.006
19450310,-3.65,-3.83,-5,-1.72,-1.91,-3.01,-2.12,-1.95,-1.32,0.006
19450317,1.88,2.01,2.59,1.25,1.27,2.91,1.53,0.35,1.19,0.006
19450324,-3.19,-3.88,-4.33,-2.33,-3.73,-4.43,-3.11,-0.3,-1.62,0.006
19450331,0.52,-0.16,-0.08,-0.16,0.32,0.31,0.07,-0.06,-0.06,0.006
19450407,0.74,0.29,0.83,1.11,1.09,1.62,1.11,-0.65,0.3,0.007
19450413,2.42,3.25,3.15,2.01,2.29,3.65,2.42,0.29,1.18,0.007
19450421,2.57,2.9,4.19,2.06,2.7,3.13,2.45,0.59,1.34,0.007
19450428,1.34,1.84,1.49,1.11,1.41,2.34,1.38,-0.06,0.7,0.007
19450505,2.3,1.44,0.37,1.22,1.22,-0.13,1.06,0.6,-1.64,0.007
19450512,-1.14,-1.1,-0.38,-1.27,-1.49,-1.91,-1.35,0.68,0.06,0.007
19450519,1.22,2.22,2.56,1.54,1,1.57,1.45,0.63,0.69,0.007
19450526,0.29,-0.23,0.79,-0.24,-0.16,0.59,-0.1,0.22,0.67,0.007
19450602,0.7,1.32,2.24,1.03,0.97,2.29,1.17,-0.01,1.4,0.006
19450609,1.37,0.79,1.86,-0.63,-0.04,-0.26,-0.26,1.65,0.43,0.006
19450616,1.01,1.56,4.11,0.74,0.94,2.53,1.13,0.82,2.44,0.006
19450623,1.85,1.59,2.34,0.22,1.79,2.2,0.96,0.53,1.23,0.006
19450630,-1.3,-2.06,-2.67,-1.5,-2.14,-2.21,-1.68,-0.06,-1.04,0.006
19450706,-0.99,-1.47,-1.45,-0.67,0.15,-1.23,-0.53,-0.72,-0.51,0.008
19450713,0.36,1.06,0.26,1.09,0.19,0.92,0.72,-0.17,-0.14,0.008
19450720,-2.61,-2.92,-3.97,-2.32,-1.98,-3.98,-2.46,-0.4,-1.51,0.008
19450727,-1.19,-2.02,-2.02,-0.91,-1.26,-1.85,-1.25,-0.4,-0.88,0.008
19450803,1.17,1.55,1.97,1.7,1.49,1.62,1.57,-0.04,0.36,0.007
19450810,1.93,1.92,-0.28,1.78,0.04,-0.86,0.76,0.87,-2.42,0.007
19450817,0.28,-0.33,-1.59,0.25,-0.8,-2.81,-0.56,0.57,-2.47,0.007
19450824,2.27,2.45,2.73,3.37,1.65,2.69,2.61,-0.09,-0.11,0.007
19450831,3.28,3.94,3.77,2.69,3.11,3.83,3.1,0.45,0.81,0.007
19450908,1.94,1.77,0.79,2.3,1.1,0.65,1.54,0.15,-1.4,0.007
19450915,-0.56,-0.34,-0.61,-1.31,0.03,-0.35,-0.63,0.04,0.46,0.007
19450922,3.67,3.53,4.02,2.17,1.93,3.75,2.41,1.13,0.97,0.007
19450929,1.44,1.66,2.16,1.37,1.3,1.6,1.4,0.33,0.47,0.007
19451006,2.34,2.53,1.82,1.72,2.54,1.81,2,0.21,-0.21,0.008
19451011,1.95,2.31,2.39,0.62,1.28,2.21,1.17,0.84,1.02,0.008
19451020,0.16,0.7,0.66,-0.26,1.25,0.46,0.37,0.02,0.6,0.008
19451026,0.82,-0.08,0.41,-0.29,-0.52,-0.41,-0.37,0.79,-0.26,0.008
19451103,3.83,3.59,3.6,1.72,1.91,3.57,2.23,1.28,0.81,0.006
19451110,2.04,2.87,3,1.29,2.02,2.09,1.74,0.84,0.88,0.006
19451117,1.36,1.06,2.27,0.15,1.04,2.32,0.92,0.39,1.54,0.006
19451124,-1.9,-2.28,-1.52,-2.9,-2.2,-1.87,-2.42,0.42,0.71,0.006
19451201,5.58,6.6,6.73,3.82,4.03,4.93,4.19,2.04,1.12,0.008
19451208,4.9,4.77,3.33,2.58,1.66,2.81,2.4,1.99,-0.67,0.008
19451215,-0.76,-1.62,-1.12,-1.23,-0.86,-1.81,-1.21,0.13,-0.47,0.008
19451222,-0.87,-1.85,-2.27,-1.2,-1.25,-1.53,-1.34,-0.34,-0.86,0.008
19451229,-0.03,1.08,1.2,0.99,1.01,0.22,0.89,0.01,0.23,0.008
19460105,-0.69,-1.12,-1.13,-0.46,-0.46,-1.41,-0.65,-0.21,-0.69,0.007
19460112,5.1,5.34,5.59,3.73,3.51,5.58,4.16,1.07,1.17,0.007
19460119,1.62,1.41,2.43,0.48,0.15,0.63,0.52,1.4,0.48,0.007
19460126,1.31,1.41,3.43,0.28,0.04,-0.48,0.33,2.11,0.68,0.007
19460202,2.76,2.71,3.19,3.38,2.56,4.27,2.9,-0.52,0.66,0.007
19460209,-2.49,-1.92,-2.33,-1.86,-1.61,-2.44,-1.99,-0.28,-0.21,0.007
19460216,3.77,2.45,2.47,1.71,1.7,1.75,1.86,1.18,-0.63,0.007
19460221,-4.92,-5.19,-5.75,-4.42,-3.92,-5.19,-4.4,-0.77,-0.8,0.007
19460302,-4.25,-4.38,-4.76,-3.3,-2.58,-4.18,-3.2,-1.11,-0.69,0.007
19460309,2.54,2.51,2.47,2.76,2.7,2.04,2.61,0,-0.39,0.007
19460316,-0.61,-0.94,-0.71,-0.05,0.1,-0.13,-0.16,-0.73,-0.09,0.007
19460323,2.97,2.95,3.45,2.09,2.4,1.72,2.37,1.05,0.06,0.007
19460330,2.42,2.29,1.75,1.1,2.24,2.8,1.78,0.11,0.52,0.007
19460406,2.96,4.23,3.97,3.1,2.42,1.88,2.69,1.26,-0.11,0.007
19460413,0.09,0.07,-0.16,0.52,0.32,-0.65,0.17,-0.06,-0.71,0.007
19460420,2.5,2.81,2.78,0.89,2.32,2.22,1.71,0.89,0.8,0.007
19460427,-1.9,-0.29,-0.89,-1.05,-0.47,-1.29,-0.75,-0.09,0.38,0.007
19460504,-1.27,-0.91,-1.75,-1.47,-1.14,-1.57,-1.39,0.08,-0.29,0.007
19460511,4.03,4.43,5.9,2.68,2.88,3.46,3.09,1.78,1.33,0.007
19460518,0.23,-1.14,-1.92,-1.01,-0.69,-0.99,-0.93,-0.05,-1.06,0.007
19460524,1.81,1.46,2.33,1.18,1.05,3.03,1.41,0.11,1.18,0.007
19460531,2.65,2.22,1.91,2.13,2.04,2.93,2.15,-0.11,0.03,0.007
19460607,-2.45,-1.96,-2.62,-1.52,-1.19,-2.41,-1.63,-0.64,-0.53,0.007
19460614,0.43,-0.09,-0.12,-0.68,-0.02,0.53,-0.24,0.13,0.33,0.007
19460621,-3.29,-4.42,-4.59,-3.52,-2.91,-3.34,-3.36,-0.84,-0.56,0.007
19460628,0.7,1.24,1.29,1.26,1.52,1.06,1.34,-0.2,0.19,0.007
19460705,-0.39,-0.08,-0.21,0.39,0.18,0.22,0.16,-0.49,0.01,0.008
19460712,-1.6,-1.41,-2.02,-1.02,-0.66,-0.92,-0.95,-0.81,-0.16,0.008
19460719,-2.36,-2.65,-2.21,-2.11,-1.66,-1.73,-1.91,-0.57,0.26,0.008
19460726,-2.6,-2.54,-3.08,-2.52,-2.01,-1.7,-2.08,-0.66,0.17,0.008
19460802,2.79,3.36,3.33,3.28,2.45,2.24,2.72,0.5,-0.25,0.007
19460809,-0.21,0.14,0.63,0.05,0.37,0.36,0.23,-0.07,0.58,0.007
19460816,-1.77,-1.55,-1.82,-1.13,-0.78,-0.81,-1.06,-0.81,0.14,0.007
19460823,-1.88,-2.21,-1.67,-0.96,-1.79,-1.66,-1.47,-0.45,-0.24,0.007
19460830,-5.49,-5.2,-5.45,-5.05,-4.71,-4.65,-4.86,-0.57,0.22,0.007
19460906,-6.68,-6.82,-7.84,-4.82,-5.11,-6.04,-5.42,-1.79,-1.19,0.007
19460913,-4.07,-4.56,-4.95,-3.45,-2,-3.17,-3.08,-1.65,-0.3,0.007
19460920,-5.61,-5.04,-6.37,-3.5,-3.44,-4.43,-3.72,-1.89,-0.85,0.007
19460927,3.08,4.07,4.14,2.72,2.77,3.01,2.88,0.93,0.67,0.007
19461005,-3.37,-2.86,-3.39,-2.88,-1.99,-3.52,-2.66,-0.41,-0.33,0.007
19461011,-2.3,-1.66,-1.49,-1.68,-0.56,-0.01,-0.83,-1.07,1.24,0.007
19461019,3.56,2.64,4.16,2.25,2.48,2.15,2.34,1.16,0.25,0.007
19461026,-2.32,-1.39,-1.09,-2.02,-1.75,-1.08,-1.73,0.02,1.09,0.007
19461102,3.45,3.69,5.14,3.55,1.3,4.17,2.93,1.09,1.15,0.007
19461109,-1.35,-1.49,-0.32,-1.31,-0.67,-0.84,-1.02,-0.12,0.75,0.007
19461116,-2.42,-1.67,-2.29,-1.45,-1.66,-2.03,-1.69,-0.41,-0.23,0.007
19461123,-3.76,-3.53,-3.32,-2.69,-2.27,-2.71,-2.65,-0.98,0.21,0.007
19461130,2.73,3.17,3.69,2.76,3.64,2.9,3,0.1,0.54,0.007
19461207,0.92,3.41,1.1,1.38,1.19,1.3,1.28,0.52,0.06,0.008
19461214,3.6,0.02,2.22,2.95,2.74,2.9,2.79,-0.91,-0.72,0.008
19461221,2.94,2.82,2.58,1.9,1.37,1.3,1.73,1.26,-0.48,0.008
19461228,-1.91,-2,-1.86,-1.68,-0.87,-1.94,-1.46,-0.42,-0.1,0.008
19470104,1.15,0.54,0.39,0.67,0.24,0.16,0.43,0.34,-0.64,0.007
19470111,-2.1,-2.67,-3.05,-1.83,-2.15,-1.9,-2.01,-0.65,-0.51,0.007
19470118,1.13,1.3,1.38,1.35,0.22,1.09,0.84,0.39,-0.01,0.007
19470125,0.7,0.5,1.05,0.24,-0.32,-0.13,-0.1,0.82,-0.01,0.007
19470201,4.45,4.05,5.27,2.89,2.77,4.19,3.35,1.31,1.06,0.007
19470208,2.14,2.6,2.92,3.38,1.63,2.19,2.29,0.15,-0.21,0.007
19470215,-0.92,-1.25,-0.94,-1.26,-1.28,-2.43,-1.49,0.62,-0.6,0.007
19470221,-0.05,-0.47,-0.16,-0.17,-0.32,0.48,-0.19,-0.22,0.27,0.007
19470301,-3.17,-2.01,-2.48,-2.16,-1.81,-2.88,-2.25,-0.27,-0.02,0.007
19470308,-3.35,-3.33,-2.93,-2.42,-2.11,-2.36,-2.37,-0.91,0.24,0.007
19470315,-2.68,-2.35,-2.55,-2.25,-1.65,-1.64,-1.96,-0.68,0.37,0.007
19470322,2.4,1.87,2.67,3.08,2.89,2.72,2.8,-0.59,-0.05,0.007
19470329,1.27,1.05,1.52,0.77,0.48,0.57,0.61,0.67,0.02,0.007
19470405,-1.64,-1.56,-0.96,-1.23,-0.54,-0.84,-0.93,-0.52,0.54,0.007
19470412,-4.91,-4.67,-5.68,-3.54,-3.47,-4.26,-3.78,-1.33,-0.75,0.007
19470419,-4.36,-3.87,-4.27,-2.31,-1.38,-2.22,-2.04,-2.2,0.09,0.007
19470426,0.17,0.6,0.66,-0.2,0.27,0.79,0.18,0.19,0.74,0.007
19470503,2.18,1.75,2.69,3.09,2.38,2.27,2.6,-0.37,-0.16,0.007
19470510,-3.47,-2.43,-3.37,-2.26,-0.36,-1.62,-1.52,-1.68,0.37,0.007
19470517,-8.05,-7.64,-8.64,-5.53,-5.21,-7.2,-5.85,-2.13,-1.13,0.007
19470524,3.18,3.61,5.21,3.5,3.04,3.82,3.39,0.55,1.18,0.007
19470529,1.69,1.69,2.3,1.57,1.48,2.11,1.73,0.17,0.58,0.007
19470606,-1.29,0.01,-0.67,0.38,0.46,-0.39,0.2,-0.8,-0.08,0.008
19470613,4.21,3.93,4.2,4.1,2.89,3.32,3.51,0.68,-0.39,0.008
