,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19271008,-0.81,-1.12,-1.19,-0.55,-1.5,-2.19,-1.25,0.38,-1.01,0.063
19271015,2.6,0.69,0.82,0.65,-0.08,0.04,0.22,1.17,-1.2,0.063
19271022,-3.05,-2.44,-5.38,-5.14,-3.24,-3.51,-4.13,0.34,-0.35,0.063
19271029,0.6,-0.19,-1.8,0.19,-0.64,-1.89,-0.37,0.31,-2.24,0.063
19271105,3.51,1.89,3.71,3.5,3.8,3.1,3.44,-0.43,-0.1,0.052
19271112,3.31,0.77,1,1.38,1.46,0.71,1.33,0.51,-1.49,0.052
19271119,1.23,4.13,3.86,1.9,1.52,1.34,1.62,1.49,1.03,0.052
19271126,1.65,1.53,1.32,-0.04,0.6,1.71,0.36,0.75,0.71,0.052
19271203,-0.23,-1.02,1.74,0.89,0.55,0.91,0.49,-0.62,0.99,0.056
19271210,1.26,1.14,-0.51,-0.38,-1.12,-0.83,-0.63,1.4,-1.11,0.056
19271217,3.65,1.66,1.87,1.87,1.67,2.61,1.82,0.34,-0.52,0.056
19271224,-1.08,0.12,0.44,0.61,0.63,0.93,0.53,-0.9,0.92,0.056
19271231,3.03,0.99,0.6,0.46,0.08,-0.3,0.33,1.46,-1.59,0.056
19280107,1.35,1.81,2.57,0.31,0.03,-0.07,0.28,1.82,0.42,0.063
19280114,-1.45,-0.38,-0.67,-1.43,-0.72,-1.62,-1.16,0.43,0.29,0.063
19280121,0.52,0.61,0.23,0.68,0.1,-0.38,0.31,0.32,-0.68,0.063
19280128,3.63,0.08,1.32,0.09,0.32,0.15,0.12,1.49,-1.13,0.063
19280204,-1.32,-0.48,-1.78,-0.86,-0.65,-1.87,-1.02,-0.07,-0.74,0.082
19280211,0.73,-0.66,-0.33,0.63,0.47,0.21,0.36,-0.52,-0.74,0.082
19280218,-5.59,-3.77,-5.79,-2.67,-2.86,-3.97,-3.09,-1.88,-0.75,0.082
19280225,1.46,1.9,3.07,1.46,1.68,3.02,1.57,0.09,1.59,0.082
19280303,0.92,2.11,0.21,2.09,0.63,-0.37,1.25,0.3,-1.58,0.073
19280310,0.59,1.33,1.82,2.86,1.29,1.51,2,-0.64,-0.06,0.073
19280317,0.82,0.71,2.84,2.47,2.06,3.4,2.09,-1.18,1.48,0.073
19280324,0.91,2.39,1.79,3.58,0.51,-0.34,1.87,0.45,-1.52,0.073
19280331,3.17,3.15,3.02,1.62,1.68,3.05,1.74,1,0.64,0.073
19280405,2.14,1.58,2.47,0.72,0.5,1.72,0.77,1.08,0.66,0.056
19280414,2.11,4.1,3.34,1.84,1.09,0.3,1.74,2.11,-0.16,0.056
19280420,-1.97,1.07,-0.53,-1.28,-0.02,-1.41,-0.91,0.42,0.66,0.056
19280428,1.4,3.18,4.49,1.69,3.91,4.73,2.55,-0.42,3.06,0.056
19280504,3.09,1.71,1.54,2.86,1.03,1.41,1.96,0.35,-1.5,0.081
19280511,2.69,1.4,0.23,0.72,0.33,1.02,0.76,0.74,-1.08,0.081
19280518,0.01,-1.88,0.65,-1.19,-1.12,-2.42,-1.34,1.17,-0.29,0.081
19280525,1.18,1.04,-0.24,-0.2,-0.18,0.04,-0.17,0.77,-0.59,0.081
19280602,0.42,1.79,0.83,1.86,0.77,0.43,1.28,-0.01,-0.51,0.078
19280609,-4.17,-6.49,-7.15,-5.3,-5.37,-6.25,-5.57,-0.3,-1.97,0.078
19280616,-6.56,-5.27,-3.01,-2.22,-0.29,-2.03,-1.93,-3.43,1.87,0.078
19280623,-2.78,-2.14,-1.4,-1.63,-1.85,-1.6,-1.81,-0.41,0.71,0.078
19280630,3.4,3.52,3.89,4.23,3.05,4.09,3.57,-0.19,0.17,0.078
19280707,0.24,1.65,1.62,1.49,1.15,1.19,1.26,-0.11,0.54,0.081
19280714,-1.7,-2.96,-3.24,-2.91,-2.24,-2.37,-2.57,-0.12,-0.5,0.081
19280721,-0.81,0.15,-0.21,0.33,-0.56,-0.27,-0.19,-0.12,0,0.081
19280728,1.76,1.33,1.51,3,1.97,2.18,2.37,-0.85,-0.54,0.081
19280804,0.24,0.17,-0.03,-0.51,0.26,0.54,-0.01,0.03,0.39,0.08
19280811,0.01,-0.75,-0.96,-1.11,-0.36,-0.66,-0.73,0.15,-0.26,0.08
19280818,1.78,1.55,1.98,2.49,1.85,2.76,2.03,-0.6,0.24,0.08
19280825,2.71,1.89,1.68,4.37,1.85,2.52,3.03,-0.82,-1.44,0.08
19280901,2.13,1.89,1.06,3.04,1.76,2.43,2.23,-0.72,-0.84,0.067
19280908,0.65,2.52,0.58,0.16,0.91,0.56,0.76,0.71,0.17,0.067
19280915,2.01,1.26,2.15,1.13,1.14,3.49,1.22,-0.11,1.25,0.067
19280922,1.91,0.67,3.73,0.75,0,0.25,0.37,1.77,0.66,0.067
19280929,0.4,-0.29,-0.79,0.76,-0.34,-0.36,0.22,-0.25,-1.16,0.067
19281006,0.25,1.03,1.25,-1.13,-1.16,-1.62,-0.92,2.15,0.25,0.102
19281013,4.43,2.6,0.17,2.28,1.23,1.03,1.56,0.89,-2.75,0.102
19281020,2.35,0.46,1.46,1.23,1.01,2.2,1.28,-0.06,0.05,0.102
19281027,1.1,0.6,0.53,-0.15,0.96,1.41,0.2,0.01,0.5,0.102
19281103,-0.02,-0.71,-1.28,0.28,0.64,0.6,0.35,-1.18,-0.47,0.096
19281110,2.31,3.35,4.39,2.99,4.28,4.77,3.6,-0.66,1.93,0.096
19281117,3.16,2.24,1.05,2.62,3.38,2.76,2.8,-0.77,-0.98,0.096
